#{"t_start": 1718792136.0473466, "env_id": "None"}
r,l,t
-149194.0,281,1444.931767
-155616.0,274,1446.156733
-165501.0,287,1447.320485
-160864.0,283,1448.463725
-157968.0,284,1449.608746
-159873.0,293,1450.798732
-169628.0,284,1451.92474
-152652.0,273,1452.998292
-156677.0,277,1460.685731
-160838.0,270,1461.843742
-164101.0,275,1462.981194
-160694.0,275,1464.082692
-156384.0,267,1465.171932
-156721.0,284,1466.278821
-154591.0,268,1467.338622
-165740.0,294,1474.741112
-162956.0,280,1475.870309
-149052.0,254,1476.845897
-151770.0,261,1477.902707
-154827.0,273,1478.943659
-155137.0,272,1480.025689
-155015.0,263,1481.129769
-163123.0,281,1482.228343
-175749.0,292,1489.850644
-138348.0,262,1490.933649
-174563.0,280,1492.060749
-166513.0,286,1493.189741
-153943.0,279,1494.260691
-160074.0,280,1495.365676
-158546.0,271,1496.435241
-149420.0,266,1503.717249
-167394.0,291,1504.889539
-172491.0,296,1506.032646
-154631.0,264,1507.051727
-168311.0,292,1508.132679
-153029.0,274,1509.161801
-160675.0,287,1510.249819
-172726.0,281,1517.871064
-161660.0,282,1519.215164
-173179.0,287,1520.444686
-164652.0,285,1521.575638
-169627.0,276,1522.692902
-159356.0,273,1523.819642
-162713.0,280,1524.949673
-173295.0,295,1532.262844
-171519.0,288,1533.437138
-172655.0,294,1534.574734
-169311.0,293,1535.689669
-158403.0,283,1536.835902
-152063.0,275,1537.912773
-175358.0,290,1539.027765
-157237.0,278,1540.14668
-155847.0,278,1547.198131
-164372.0,287,1548.290556
-174142.0,296,1549.369624
-160722.0,270,1550.349843
-171235.0,286,1551.513455
-163463.0,280,1552.591569
-170862.0,290,1553.690182
-186164.0,307,1560.526792
-172126.0,289,1561.620614
-171990.0,291,1562.652685
-170777.0,293,1563.760648
-160423.0,289,1564.898641
-189269.0,307,1566.103959
-186254.0,299,1567.275947
-174359.0,295,1574.991296
-187944.0,302,1576.229348
-169021.0,284,1577.312864
-189317.0,303,1578.455732
-162457.0,281,1579.541703
-190099.0,305,1580.680195
-169053.0,293,1581.832588
-159510.0,279,1589.101308
-166675.0,280,1590.198661
-188783.0,308,1591.410617
-174793.0,294,1592.587038
-177332.0,296,1593.808108
-178116.0,291,1594.970645
-179074.0,297,1596.200634
-172473.0,291,1603.718108
-173415.0,295,1604.872578
-166413.0,281,1605.991504
-158710.0,277,1607.072652
-158258.0,281,1608.143607
-166786.0,283,1609.245463
-168628.0,290,1610.392695
-179609.0,296,1617.629593
-183052.0,292,1618.760612
-184297.0,302,1619.885575
-167907.0,298,1621.126608
-176482.0,292,1622.303112
-178500.0,303,1623.419622
-162204.0,286,1624.458103
-183419.0,299,1631.399939
-174402.0,294,1632.464985
-181817.0,297,1633.529654
-177050.0,288,1634.599005
-168766.0,296,1635.770794
-174552.0,291,1636.849375
-163168.0,286,1637.904989
-191733.0,307,1644.828539
-191390.0,311,1646.051332
-163386.0,283,1647.084261
-178513.0,297,1648.175608
-193628.0,318,1649.778223
-180647.0,304,1651.029432
-158530.0,285,1652.210985
-169254.0,275,1659.961752
-196264.0,315,1661.230701
-186394.0,301,1662.368593
-193561.0,310,1663.562562
-176976.0,299,1664.723528
-175480.0,295,1665.884647
-172684.0,287,1673.579777
-191114.0,313,1674.913535
-196551.0,317,1676.172322
-191256.0,312,1677.394523
-168124.0,286,1678.538112
-192872.0,314,1679.758394
-179601.0,299,1680.92058
-177739.0,296,1688.412835
-177410.0,296,1689.580397
-187637.0,303,1690.728585
-174191.0,292,1691.835516
-194468.0,307,1693.067884
-183294.0,307,1694.397007
-177939.0,300,1695.586028
-191102.0,308,1702.715536
-191586.0,310,1703.902476
-176429.0,299,1705.051953
-169673.0,294,1706.168732
-164831.0,287,1707.286502
-166427.0,282,1708.395525
-175157.0,304,1709.574461
-173749.0,289,1717.172162
-179307.0,297,1718.452041
-177750.0,302,1719.617745
-175495.0,290,1720.708521
-168762.0,292,1721.872543
-188173.0,309,1723.088509
-196100.0,312,1724.342522
-181928.0,303,1732.116494
-181217.0,297,1733.342497
-181643.0,297,1734.519509
-191517.0,313,1735.723471
-181124.0,304,1736.888569
